Trial,Stimulation,NeuronID,Target,DirectConn,SynW,InRange,Distance,PosX,PosY,Activation
0,False,698,0,0,0.0,0,0.3513513513513514,2.7755575615628914e-17,-0.3513513513513514,0
0,False,699,0,0,0.0,0,0.3783783783783784,2.7755575615628914e-17,-0.3783783783783784,0
0,False,700,0,0,0.0,0,0.4054054054054054,2.7755575615628914e-17,-0.4054054054054054,0
0,False,701,0,0,0.0,0,0.43243243243243246,2.7755575615628914e-17,-0.43243243243243246,1
0,False,702,0,0,0.0,0,0.45945945945945954,2.7755575615628914e-17,-0.45945945945945954,0
0,False,703,0,0,0.0,0,0.4864864864864865,2.7755575615628914e-17,-0.4864864864864865,1
0,False,704,0,0,0.0,0,0.48723665884648504,0.027027027027027112,0.4864864864864865,0
0,False,705,0,0,0.0,0,0.4602536855655784,0.027027027027027112,0.45945945945945943,0
0,False,706,0,0,0.0,0,0.4332762038346324,0.027027027027027112,0.43243243243243246,1
0,False,707,0,0,0.0,0,0.40630530752359206,0.027027027027027112,0.4054054054054054,0
0,False,708,0,0,0.0,0,0.3793424012869784,0.027027027027027112,0.3783783783783784,0
0,False,709,0,0,0.0,0,0.35238931920014316,0.027027027027027112,0.3513513513513513,1
0,False,710,0,0,0.0,0,0.32544850212952153,0.027027027027027112,0.32432432432432434,0
0,False,711,0,0,0.0,0,0.2985232707347908,0.027027027027027112,0.29729729729729726,0
0,False,712,0,0,0.0,0,0.2716182600302943,0.027027027027027112,0.2702702702702703,0
0,False,713,0,0,0.0,0,0.24474013886857884,0.027027027027027112,0.24324324324324323,0
0,False,714,0,0,0.0,0,0.21789885806212297,0.027027027027027112,0.2162162162162162,1
0,False,715,0,0,0.0,0,0.19110994086122907,0.027027027027027112,0.18918918918918917,0
0,False,716,0,0,0.0,0,0.1643989873053573,0.027027027027027112,0.16216216216216214,0
0,False,717,0,0,0.0,0,0.1378113382052104,0.027027027027027112,0.13513513513513511,0
0,False,718,0,0,0.0,1,0.11143528717885572,0.027027027027027112,0.10810810810810809,1
0,False,719,0,0,0.0,1,0.0854669637883346,0.027027027027027112,0.08108108108108106,1
0,False,720,0,1,35.23582951708714,1,0.06043426966215651,0.027027027027027112,0.05405405405405403,0
0,False,721,0,1,38.021548014897185,1,0.038221988172245855,0.027027027027027112,0.027027027027027,1
0,False,722,0,1,38.998229711050826,1,0.027027027027027084,0.027027027027027112,-2.7755575615628914e-17,0
0,False,723,0,0,0.0,1,0.03822198817224589,0.027027027027027112,-0.027027027027027112,0
0,False,724,0,0,0.0,1,0.06043426966215651,0.027027027027027112,-0.054054054054054085,0
0,False,725,0,0,0.0,1,0.08546696378833454,0.027027027027027112,-0.08108108108108106,1
0,False,726,0,1,25.989822951515503,1,0.11143528717885572,0.027027027027027112,-0.10810810810810814,0
0,False,727,0,0,0.0,0,0.13781133820521047,0.027027027027027112,-0.13513513513513523,0
0,False,728,0,0,0.0,0,0.1643989873053573,0.027027027027027112,-0.1621621621621622,1
0,False,729,0,0,0.0,0,0.191109940861229,0.027027027027027112,-0.18918918918918917,0
0,False,730,0,0,0.0,0,0.21789885806212297,0.027027027027027112,-0.21621621621621626,0
0,False,731,0,0,0.0,0,0.2447401388685789,0.027027027027027112,-0.24324324324324334,0
0,False,732,0,0,0.0,0,0.2716182600302943,0.027027027027027112,-0.2702702702702703,0
0,False,733,0,0,0.0,0,0.2985232707347908,0.027027027027027112,-0.29729729729729726,0
0,False,734,0,0,0.0,0,0.32544850212952153,0.027027027027027112,-0.32432432432432434,2
0,False,735,0,0,0.0,0,0.35238931920014327,0.027027027027027112,-0.3513513513513514,1
0,False,736,0,0,0.0,0,0.3793424012869784,0.027027027027027112,-0.3783783783783784,0
0,False,737,0,0,0.0,0,0.40630530752359206,0.027027027027027112,-0.4054054054054054,2
0,False,738,0,0,0.0,0,0.4332762038346324,0.027027027027027112,-0.43243243243243246,0
0,False,739,0,0,0.0,0,0.4602536855655785,0.027027027027027112,-0.45945945945945954,1
0,False,740,0,0,0.0,0,0.48723665884648504,0.027027027027027112,-0.4864864864864865,0
0,False,741,0,0,0.0,0,0.4894802777371577,0.054054054054054085,0.4864864864864865,0
0,False,742,0,0,0.0,0,0.4626281829357754,0.054054054054054085,0.45945945945945943,0
0,False,743,0,0,0.0,0,0.43579771612424595,0.054054054054054085,0.43243243243243246,1
0,False,744,0,0,0.0,0,0.40899313379517716,0.054054054054054085,0.4054054054054054,1
0,False,745,0,0,0.0,0,0.38221988172245813,0.054054054054054085,0.3783783783783784,0
0,False,746,0,0,0.0,0,0.35548503886394334,0.054054054054054085,0.3513513513513513,0
0,False,747,0,0,0.0,0,0.3287979746107146,0.054054054054054085,0.32432432432432434,0
0,False,748,0,0,0.0,0,0.30217134831078235,0.054054054054054085,0.29729729729729726,0
0,False,749,0,0,0.0,0,0.2756226764104208,0.054054054054054085,0.2702702702702703,2
0,False,750,0,0,0.0,0,0.2491768772241321,0.054054054054054085,0.24324324324324323,1
0,False,751,0,0,0.0,0,0.2228705743577114,0.054054054054054085,0.2162162162162162,0
0,False,752,0,0,0.0,0,0.19675972673731132,0.054054054054054085,0.18918918918918917,0
0,False,753,0,0,0.0,0,0.17093392757666917,0.054054054054054085,0.16216216216216214,0
0,False,754,0,0,0.0,0,0.14554499478741903,0.054054054054054085,0.13513513513513511,0
0,False,755,0,0,0.0,0,0.12086853932431296,0.054054054054054085,0.10810810810810809,1
0,False,756,0,0,0.0,1,0.09744733176929701,0.054054054054054085,0.08108108108108106,0
0,False,757,0,0,0.0,1,0.07644397634449163,0.054054054054054085,0.05405405405405403,0
0,False,758,0,0,0.0,1,0.06043426966215648,0.054054054054054085,0.027027027027027,1
0,False,759,0,0,0.0,1,0.05405405405405406,0.054054054054054085,-2.7755575615628914e-17,1
0,False,760,0,0,0.0,1,0.06043426966215651,0.054054054054054085,-0.027027027027027112,1
0,False,761,0,0,0.0,1,0.07644397634449163,0.054054054054054085,-0.054054054054054085,0
0,False,762,0,0,0.0,1,0.09744733176929697,0.054054054054054085,-0.08108108108108106,0
0,False,763,0,0,0.0,0,0.12086853932431296,0.054054054054054085,-0.10810810810810814,0
